invoice_number,customer_name,due_date,total,balance,status,is_emailed,organization
INV-060488,LC Construction,2025-04-27,337.6,337.6,overdue,True,GoFleet Corporation
INV-060484,Pilot Freight Services,2025-04-27,25.9,25.9,overdue,True,GoFleet Corporation
INV-060481,SDI Supplies,2025-04-27,249.73,249.73,overdue,True,GoFleet Corporation
INV-060479,Lanz Bro Corp,2025-04-27,186.45,186.45,overdue,True,GoFleet Corporation
INV-060449,City West Cable & Telephone Corp,2025-04-26,2354.63,2354.63,overdue,True,GoFleet Corporation
INV-060438,Premium Choice,2025-04-25,169.5,169.5,overdue,True,GoFleet Corporation
INV-060437,Foss National Leasing Ltd.,2025-04-25,954.85,954.85,overdue,True,GoFleet Corporation
INV-060436,Foss National Leasing Ltd.,2025-04-25,954.85,954.85,overdue,True,GoFleet Corporation
INV-060435,Regional Municipality of York,2025-04-25,1293.85,1293.85,overdue,True,GoFleet Corporation
INV-060433,Regional Municipality of York,2025-04-25,180.8,180.8,overdue,True,GoFleet Corporation
INV-060429,Foss National Leasing Ltd.,2025-04-25,259.9,259.9,overdue,True,GoFleet Corporation
INV-060424,Mamba Global Logistics LLC,2025-04-25,23.0,23.0,overdue,True,GoFleet Corporation
INV-060423,VNH Enterprises,2025-04-25,13044.5,13044.5,overdue,True,GoFleet Corporation
INV-059809,colossus security,2025-04-04,2090.5,2090.5,overdue,True,GoFleet Corporation
INV-060405,Aecon Utilities (US) Ltd.,2025-04-24,146.0,146.0,overdue,True,GoFleet Corporation
INV-060402,Pacific Electrical Installations Ltd,2025-04-24,1187.2,1187.2,overdue,True,GoFleet Corporation
INV-060395,Trinity Services Group Inc,2025-04-24,678.0,678.0,overdue,True,GoFleet Corporation
INV-060388,JAW Logistics Corp,2025-04-24,29.85,29.85,overdue,True,GoFleet Corporation
INV-060377,Livingston Transportation Inc.,2025-04-24,2910.54,2910.54,overdue,True,GoFleet Corporation
INV-060375,Cascades Holding US Inc,2025-04-23,1080.0,1080.0,overdue,True,GoFleet Corporation
INV-060374,Cascades Canada ULC,2025-04-23,1423.8,1423.8,overdue,True,GoFleet Corporation
INV-060371,PG Parks,2025-04-23,3075.0,3075.0,overdue,True,GoFleet Corporation
INV-060369,"AICS, a div of Aecon Construction Group Inc",2025-04-23,58.76,58.76,overdue,True,GoFleet Corporation
INV-060367,Uni-Recycle Inc.,2025-04-23,160.97,160.97,overdue,True,GoFleet Corporation
INV-060359,Owens Elite trucking llc,2025-04-23,20.6,20.6,overdue,True,GoFleet Corporation
INV-060351,NMPHC,2025-04-23,273.45,273.45,overdue,True,GoFleet Corporation
INV-060346,Bee Clean Building Maintenance- London,2025-04-23,474.6,474.6,overdue,True,GoFleet Corporation
INV-060340,Lindsay Beer Equestrian,2025-04-22,30.51,30.51,overdue,True,GoFleet Corporation
INV-060334,A-1 Environmental Services,2025-04-22,683.66,683.66,overdue,True,GoFleet Corporation
INV-060329,Trash Inc,2025-04-22,105.93,105.93,overdue,True,GoFleet Corporation
INV-060327,Canadian Kraft Paper Industries Ltd.,2025-04-22,2155.65,2155.65,overdue,True,GoFleet Corporation
INV-060324,TRS TRANSPORTATION LLC,2025-04-21,25.0,25.0,overdue,True,GoFleet Corporation
INV-060312,CanWing Travel LTD,2025-04-21,111.87,111.87,overdue,True,GoFleet Corporation
INV-060311,F W Transport,2025-04-21,23.69,23.69,overdue,True,GoFleet Corporation
INV-060306,Dom Amodeo Produce Ltd,2025-04-21,377.31,377.31,overdue,True,GoFleet Corporation
INV-060305,Central Arizona Transport,2025-04-21,2983.91,2983.91,overdue,True,GoFleet Corporation
INV-060293,Cascades Canada ULC,2025-04-20,320.07,320.07,overdue,True,GoFleet Corporation
INV-060263,Nevius Entreprises LLC,2025-04-19,69.0,69.0,overdue,True,GoFleet Corporation
INV-060261,DS Pipe and Steel Supply,2025-04-19,665.0,665.0,overdue,True,GoFleet Corporation
INV-060259,"Lone Pine Bus Lines, Inc.",2025-04-19,370.8,370.8,overdue,True,GoFleet Corporation
INV-060239,VLocity Group,2025-04-19,515.0,515.0,overdue,True,GoFleet Corporation
INV-060231,Hastings Utilities Contracting,2025-04-19,1243.0,1243.0,overdue,True,GoFleet Corporation
INV-060228,EBS Geostructural INC.,2025-04-18,626.02,626.02,overdue,True,GoFleet Corporation
INV-060225,Regional Municipality of York,2025-04-18,1241.42,1241.42,overdue,True,GoFleet Corporation
INV-060223,Foss National Leasing Ltd.,2025-04-18,609.07,609.07,overdue,True,GoFleet Corporation
INV-060222,Miller Waste Systems,2025-04-18,278.66,278.66,overdue,True,GoFleet Corporation
INV-060221,Miller Waste Systems,2025-04-18,209.05,209.05,overdue,True,GoFleet Corporation
INV-060220,Miller Waste Systems,2025-04-18,233.46,233.46,overdue,True,GoFleet Corporation
