invoice_number,customer_name,due_date,total,balance,payment_mode,organization
INV-061437,Frechette Lawncare,2025-05-27,725.8,0.0,Stripe,GoFleet Corporation
INV-061434,Abrsh Trucking,2025-04-26,19.57,0.0,Stripe,GoFleet Corporation
INV-061433,PT Construction Group,2025-04-26,80.78,0.0,Stripe,GoFleet Corporation
INV-061432,Bayer CropScience Inc,2025-05-26,265.65,0.0,Stripe,GoFleet Corporation
INV-061431,All Grow Garden & Distribution,2025-05-26,53.08,0.0,Stripe,GoFleet Corporation
INV-061430,Forest Products Group,2025-05-26,80.0,0.0,Stripe,GoFleet Corporation
INV-061429,Premium Choice,2025-05-26,75.99,0.0,Stripe,GoFleet Corporation
INV-061428,Fiberco Solutions,2025-04-26,221.56,0.0,Stripe,GoFleet Corporation
INV-061426,NW Foster Transport LLC,2025-05-26,252.92,0.0,Stripe,GoFleet Corporation
INV-061423,Tubco Whirlpools LTD,2025-05-26,155.79,0.0,Stripe,GoFleet Corporation
INV-061421,Aero,2025-05-26,247.1,0.0,Stripe,GoFleet Corporation
INV-061419,Zucco Construction Limited,2025-05-26,276.96,0.0,Stripe,GoFleet Corporation
INV-061416,Iori Plaster & Drywall Contractors Ltd.,2025-05-25,51.93,0.0,Stripe,GoFleet Corporation
INV-061414,McCrea's ClimateCare,2025-05-25,67.8,0.0,Stripe,GoFleet Corporation
INV-061413,PRO TILE (USD),2025-05-25,93.66,0.0,Stripe,GoFleet Corporation
INV-061411,C+ Rodeos,2025-05-25,24.7,0.0,Stripe,GoFleet Corporation
INV-061409,Xtreme Transport Inc,2025-05-25,30.0,0.0,Stripe,GoFleet Corporation
INV-061408,The Car Shoppe,2025-05-25,23.69,0.0,Stripe,GoFleet Corporation
INV-061407,Ballance Design,2025-05-25,20.06,0.0,Stripe,GoFleet Corporation
INV-061403,CT Enterprises,2025-05-25,259.65,0.0,Stripe,GoFleet Corporation
INV-061401,"MSA Transport Solutions, Inc.",2025-05-25,224.28,0.0,Stripe,GoFleet Corporation
INV-061400,Precision Heating Cooling & Refrigeration (PHCRINC),2025-05-25,208.73,0.0,Stripe,GoFleet Corporation
INV-061396,The Exterminators Inc,2025-05-25,588.54,0.0,Stripe,GoFleet Corporation
INV-061395,Leggat Chevrolet Cadillac Buick GMC,2025-05-25,230.8,0.0,Stripe,GoFleet Corporation
INV-061391,VAC Developments Ltd,2025-05-25,38.99,0.0,N/A,GoFleet Corporation
INV-061390,Direct Flow Inc,2025-05-25,28.84,0.0,Stripe,GoFleet Corporation
INV-061388,Angela Fatigati,2025-05-25,66.93,0.0,Stripe,GoFleet Corporation
INV-061384,Papenfuss Trucking,2025-05-24,165.0,0.0,Stripe,GoFleet Corporation
INV-061383,Electrical Contracting,2025-05-24,238.88,0.0,N/A,GoFleet Corporation
INV-061376,Brentwood Livery,2025-04-24,29.38,0.0,Stripe,GoFleet Corporation
INV-061372,South Simco Landscape Construction,2025-05-24,103.86,0.0,Stripe,GoFleet Corporation
INV-061371,Baca Freight,2025-05-24,30.0,0.0,Stripe,GoFleet Corporation
INV-061370,Aoyee Royal International Travel,2025-05-24,26.54,0.0,Stripe,GoFleet Corporation
INV-061368,Terre De La Prairies Farms Inc,2025-05-24,132.71,0.0,Stripe,GoFleet Corporation
INV-061366,Select Premium Foods,2025-05-24,26.54,0.0,Stripe,GoFleet Corporation
INV-061365,Triple Braided Cord Transport LLC,2025-05-24,25.75,0.0,Stripe,GoFleet Corporation
INV-061364,M&M Logistics/Hotshot LLC,2025-05-24,47.38,0.0,Stripe,GoFleet Corporation
INV-061363,Donnie Betts & Son,2025-05-24,36.05,0.0,Stripe,GoFleet Corporation
INV-061362,Skyline Eco-Adventures LLC,2025-05-24,584.06,0.0,Stripe,GoFleet Corporation
INV-061358,AG James Electrical,2025-05-24,119.44,0.0,Stripe,GoFleet Corporation
