invoice_number,customer_name,due_date,total,balance,status,payment_mode,organization
INV-010571,"H and H Drug Stores, Inc. (T-Mobile Client)",2025-03-31,276.0,276.0,overdue,N/A,Zenduit Corporation
INV-010570,Secure Transportation,2025-03-31,160.0,160.0,overdue,N/A,Zenduit Corporation
INV-010569,"California Waste Services, LLC(OLD)",2025-03-31,1595.0,0.0,paid,N/A,Zenduit Corporation
INV-010568,Pun Enterprises Incorporated,2025-03-31,36.0,0.0,paid,N/A,Zenduit Corporation
INV-010567,College Hunks Hauling Junk and Moving of Grand Rapids,2025-03-31,260.0,0.0,paid,N/A,Zenduit Corporation
INV-010566,Finger Lakes TC,2025-03-31,125.0,0.0,paid,N/A,Zenduit Corporation
INV-010565,Carbentec (Formerly Titan Innovations),2025-03-31,606.0,0.0,paid,N/A,Zenduit Corporation
INV-010564,Aalto Technologies,2025-03-31,142.3,0.0,paid,N/A,Zenduit Corporation
INV-010563,KELLY TOURS,2025-03-31,420.0,0.0,paid,N/A,Zenduit Corporation
INV-010562,"TrackCam, LLC",2025-03-30,45923.0,0.0,paid,N/A,Zenduit Corporation
INV-010561,VLC,2025-03-30,4366.49,0.0,paid,N/A,Zenduit Corporation
INV-010560,http://www.argosconnected.com,2025-03-30,100.0,0.0,paid,N/A,Zenduit Corporation
INV-010559,"Badia Spices, LLC. (T-Mobile Client)",2025-03-30,432.0,0.0,paid,N/A,Zenduit Corporation
INV-010558,SSC International (T-Mobile Client),2025-03-30,60.0,0.0,paid,N/A,Zenduit Corporation
INV-010557,Financial Technology Solutions International (T-Mobile Customer),2025-03-30,1261.0,0.0,paid,N/A,Zenduit Corporation
INV-010556,GISCAD Jamaica Limited,2025-03-30,384.8,0.0,paid,N/A,Zenduit Corporation
INV-010555,Robert J. Devereaux Corp.,2025-03-30,198.0,0.0,paid,N/A,Zenduit Corporation
INV-010554,Dynasty Communications,2025-03-30,36.0,0.0,paid,N/A,Zenduit Corporation
INV-010553,Dynasty Communications,2025-03-30,738.0,0.0,paid,N/A,Zenduit Corporation
INV-010552,WEX INC,2025-03-30,1352.0,0.0,paid,N/A,Zenduit Corporation
INV-010551,Smart Witness LLC,2025-03-30,8135.0,0.0,paid,N/A,Zenduit Corporation
INV-010550,Traxxis GPS Solutions,2025-03-30,35101.0,0.0,paid,N/A,Zenduit Corporation
INV-010549,"Pat's Offroad, Inc.",2025-03-30,100.0,0.0,paid,N/A,Zenduit Corporation
INV-010548,Metrica Movil,2025-03-30,780.08,0.0,paid,N/A,Zenduit Corporation
INV-010547,Rush Enterprises,2025-03-30,30.0,30.0,overdue,N/A,Zenduit Corporation
INV-010546,Traxxis GPS Solutions,2025-03-29,265.0,0.0,paid,N/A,Zenduit Corporation
INV-010545,"TrackCam, LLC",2025-03-29,4926.0,0.0,paid,N/A,Zenduit Corporation
INV-010544,Velocity Rail Solution,2025-03-29,1594.0,1594.0,draft,N/A,Zenduit Corporation
INV-010543,Velocity Rail Solution,2025-03-29,1405.0,0.0,paid,N/A,Zenduit Corporation
INV-010542,Traxxis GPS Solutions,2025-03-29,265.0,0.0,paid,N/A,Zenduit Corporation
INV-010541,Traxxis GPS Solutions,2025-03-29,279.0,0.0,paid,N/A,Zenduit Corporation
INV-010540,"TrackCam, LLC",2025-03-29,415.0,0.0,paid,N/A,Zenduit Corporation
INV-010539,Trulite Glass and Aluminum Solutions Canada,2025-03-29,149.1,0.0,paid,N/A,Zenduit Corporation
INV-010538,Worldwide Recovery (T-Mobile Client),2025-03-29,240.0,240.0,overdue,N/A,Zenduit Corporation
INV-010537,Magic Metals,2025-03-29,240.0,0.0,paid,N/A,Zenduit Corporation
INV-010536,Trulite Glass and Aluminum Solutions,2025-03-29,315.0,0.0,paid,N/A,Zenduit Corporation
INV-010535,Bital Services Inc,2025-03-29,259.93,259.93,draft,N/A,Zenduit Corporation
INV-010534,Traxxis GPS Solutions,2025-03-29,1675.0,0.0,paid,N/A,Zenduit Corporation
INV-010533,Traxxis GPS Solutions,2025-03-29,265.0,0.0,paid,N/A,Zenduit Corporation
INV-010532,Traxxis GPS Solutions,2025-03-29,279.0,0.0,paid,N/A,Zenduit Corporation
INV-010531,T&J Unlimited Transportation,2025-02-26,106.0,0.0,paid,N/A,Zenduit Corporation
INV-010530,Arias Farms,2025-03-28,50.0,0.0,paid,N/A,Zenduit Corporation
INV-010529,Merrill Steel Inc (Fiix Lead),2025-03-28,72.0,0.0,paid,N/A,Zenduit Corporation
INV-010528,HMR Transportation (T-Mobile Client),2025-03-28,42.0,0.0,paid,N/A,Zenduit Corporation
INV-010527,EAGLEi GPS,2025-03-28,1388.7,0.0,paid,N/A,Zenduit Corporation
INV-010526,EMS Technology Solutions LLC/ Operative IQ,2025-03-28,477.0,0.0,paid,N/A,Zenduit Corporation
